"date","open","high","low","close","volume","oi"
2012-06-21,1,3,870,-4221,209188,2
2012-06-21,2,2,24500,30923,612988,2
2012-06-21,1,1,2265,-5803,92864,1
2012-06-21,1,1,4900,-4624,4900,1
2012-06-21,1,2,9800,6912,274918,2
2012-06-21,1,4,20999,23536,124674,1
2012-06-21,2,1,0,281662,6137062,4
2012-06-21,4,2,0,0,998400,2
2012-06-21,1,2,11769,11545,118700,1
2012-06-21,1,3,193118,2303922,33402786,6
2012-06-21,4,2,0,5908,817348,2
2012-06-21,1,2,14700,6975,260254,2
2012-06-21,1,2,12669,6833,169504,1
2012-06-21,1,2,0,5908,199168,2
2012-06-21,1,3,13569,15828,440596,4
2012-06-21,1,4,300200,306259,2425716,4
2012-06-21,1,4,71570,70155,808000,2
2012-06-21,1,5,102270,102269,998600,4
2012-06-21,1,3,90270,104975,1711321,2
2012-06-21,1,1,8986,55167,997438,4
2012-06-21,3,2,54900,54900,3609300,2
2012-06-21,1,4,20999,23536,124674,1
2012-06-21,2,1,55000,55816,2474616,4
2012-06-21,1,1,1997,-631,434006,2
2012-06-21,2,3,124300,124786,534854,1
2012-06-21,1,6,61569,54491,159434,2
2012-06-21,1,2,13700,13440,154179,1
2012-06-21,2,3,123569,140304,3135882,4
2012-06-21,1,3,5769,5769,266600,1
2012-06-21,2,2,0,-3391,447148,2
2012-06-21,1,5,167070,167069,1283700,4
2012-06-21,2,1,24500,14588,355100,2
2012-06-21,1,2,2927,-1867,24310,2
2012-06-21,1,2,38270,64205,1422963,6
2012-06-21,1,2,71400,71400,939700,4
2012-06-21,1,4,101400,101400,1865900,3
2012-06-21,3,3,8769,7794,11800,1
2012-06-21,1,3,24669,28045,200104,1
2012-06-21,1,6,36569,31025,206408,2
2012-06-21,2,3,10669,2303,297454,1
2012-06-21,2,1,-13378,-32659,884330,2
2012-06-21,1,2,5769,8614,139254,1
2012-06-21,4,2,5770,5025,5800,2
2012-06-21,1,2,869,-8430,900,1
2012-06-21,1,1,5839,9044,1315255,4
2012-06-21,1,1,1242,599,65725,2
2012-06-21,2,3,20470,20469,531019,1
2012-06-21,1,4,46264,56185,1315495,4
2012-06-21,1,2,11769,3500,92814,1
2012-06-21,1,5,28769,27875,163900,1
2012-06-21,2,2,-10100,-20042,192294,1
2012-06-21,2,2,4900,1415,390488,2
2012-06-21,1,4,25769,25279,226100,1
2012-06-21,1,3,5769,2978,273108,2
2012-06-21,1,6,37569,44106,339408,2
2012-06-21,1,2,12700,18367,164468,2
2012-06-21,2,2,0,-19331,154854,1
2012-06-21,6,1,-16866,-16866,887760,1
2012-06-21,1,4,15569,15041,220800,2
2012-06-21,1,1,27500,27500,1294200,4
2012-06-21,1,1,27500,27500,1294200,4
2012-06-21,1,1,27500,27500,1294200,4
2012-06-21,1,1,27500,39316,1141516,4
2012-06-21,1,1,11999,14954,108974,1
2012-06-21,1,4,17569,15048,303570,2
2012-06-21,1,4,15569,15041,220800,2
2012-06-21,2,3,142500,163775,2526882,5
2012-06-21,1,3,76200,94602,1247050,5
